step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,n_copepod,seed
360,0,0,5000,0,0,100,41,300,249
361,0,0,5000,0,0,100,41,300,249
362,0,0,5000,0,0,100,41,300,249
363,0,0,5000,0,0,100,41,300,249
364,0,0,5000,0,0,100,41,300,249
365,0,0,5000,0,0,100,41,300,249
366,0,0,5000,0,0,100,41,300,249
367,0,0,5000,0,0,100,41,300,249
368,0,0,5000,0,0,100,41,300,249
369,0,0,5000,0,0,100,41,300,249
370,0,0,5000,0,0,100,41,300,249
371,0,0,5000,0,0,100,41,300,249
372,0,0,5000,0,0,100,41,300,249
373,0,0,5000,0,0,100,41,300,249
374,0,0,5000,0,0,100,41,300,249
375,0,0,5000,0,0,100,41,300,249
376,0,0,5000,0,0,100,41,300,249
377,0,0,5000,0,0,100,41,300,249
378,0,0,5000,0,0,100,41,300,249
379,0,0,5000,0,0,100,41,300,249
380,0,0,5000,0,0,100,41,300,249
381,0,0,5000,0,0,100,41,300,249
382,0,0,5000,0,0,100,41,300,249
383,0,0,5000,0,0,100,41,300,249
384,0,0,5000,0,0,100,41,300,249
385,0,0,5000,0,0,100,41,300,249
386,0,0,5000,0,0,100,41,300,249
387,0,0,5000,0,0,100,41,300,249
388,0,0,5000,0,0,100,41,300,249
389,0,0,5000,0,0,100,41,300,249
390,0,0,5000,0,0,100,41,300,249
391,0,0,5000,0,0,100,41,300,249
392,0,0,5000,0,0,100,41,300,249
393,0,0,5000,0,0,100,41,300,249
394,0,0,5000,0,0,100,41,300,249
395,0,0,5000,0,0,100,41,300,249
396,0,0,5000,0,0,100,41,300,249
397,0,0,5000,0,0,100,41,300,249
398,0,0,5000,0,0,100,41,300,249
399,0,0,5000,0,0,100,41,300,249
400,0,0,5000,0,0,100,41,300,249
401,0,0,5000,0,0,100,41,300,249
402,0,0,5000,0,0,100,41,300,249
403,0,0,5000,0,0,100,41,300,249
404,0,0,5000,0,0,100,41,300,249
405,0,0,5000,0,0,100,41,300,249
406,0,0,5000,0,0,100,41,300,249
407,0,0,5000,0,0,100,41,300,249
408,0,0,5000,0,0,100,41,300,249
409,0,0,5000,0,0,100,41,300,249
410,0,0,5000,0,0,100,41,300,249
411,0,0,5000,0,0,100,41,300,249
412,0,0,5000,0,0,100,41,300,249
413,0,0,5000,0,0,100,41,300,249
414,0,0,5000,0,0,100,41,300,249
415,0,0,5000,0,0,100,41,300,249
416,0,0,5000,0,0,100,41,300,249
417,0,0,5000,0,0,100,41,300,249
418,0,0,5000,0,0,100,41,300,249
419,0,0,5000,0,0,100,41,300,249
420,0,0,5000,0,0,100,41,300,249
421,0,0,5000,0,0,100,41,300,249
422,0,0,5000,0,0,100,41,300,249
423,0,0,5000,0,0,100,41,300,249
424,0,0,5000,0,0,100,41,300,249
425,0,0,5000,0,0,100,41,300,249
426,0,0,5000,0,0,100,41,300,249
427,0,0,5000,0,0,100,41,300,249
428,0,0,5000,0,0,100,41,300,249
429,0,0,5000,0,0,100,41,300,249
430,0,0,5000,0,0,100,41,300,249
431,0,0,5000,0,0,100,41,300,249
432,0,0,5000,0,0,100,41,300,249
433,0,0,5000,0,0,100,41,300,249
434,0,0,5000,0,0,100,41,300,249
435,0,0,5000,0,0,100,41,300,249
436,0,0,5000,0,0,100,41,300,249
437,0,0,5000,0,0,100,41,300,249
438,0,0,5000,0,0,100,41,300,249
439,0,0,5000,0,0,100,41,300,249
440,0,0,5000,0,0,100,41,300,249
441,0,0,5000,0,0,100,41,300,249
442,0,0,5000,0,0,100,41,300,249
443,0,0,5000,0,0,100,41,300,249
444,0,0,5000,0,0,100,41,300,249
445,0,0,5000,0,0,100,41,300,249
446,0,0,5000,0,0,100,41,300,249
447,0,0,5000,0,0,100,41,300,249
448,0,0,5000,0,0,100,41,300,249
449,0,0,5000,0,0,100,41,300,249
450,0,0,5000,0,0,100,41,300,249
451,0,0,5000,0,0,100,41,300,249
452,0,0,5000,0,0,100,41,300,249
453,0,0,5000,0,0,100,41,300,249
454,0,0,5000,0,0,100,41,300,249
455,0,0,5000,0,0,100,41,300,249
456,0,0,5000,0,0,100,41,300,249
457,0,0,5000,0,0,100,41,300,249
458,0,0,5000,0,0,100,41,300,249
459,0,0,5000,0,0,100,41,300,249
460,0,0,5000,0,0,100,41,300,249
461,0,0,5000,0,0,100,41,300,249
462,0,0,5000,0,0,100,41,300,249
463,0,0,5000,0,0,100,41,300,249
464,0,0,5000,0,0,100,41,300,249
465,0,0,5000,0,0,100,41,300,249
466,0,0,5000,0,0,100,41,300,249
467,0,0,5000,0,0,100,41,300,249
468,0,0,5000,0,0,100,41,300,249
469,0,0,5000,0,0,100,41,300,249
470,0,0,5000,0,0,100,41,300,249
471,0,0,5000,0,0,100,41,300,249
472,0,0,5000,0,0,100,41,300,249
473,0,0,5000,0,0,100,41,300,249
474,0,0,5000,0,0,100,41,300,249
475,0,0,5000,0,0,100,41,300,249
476,0,0,5000,0,0,100,41,300,249
477,0,0,5000,0,0,100,41,300,249
478,0,0,5000,0,0,100,41,300,249
479,0,0,5000,0,0,100,41,300,249
480,0,0,5000,0,0,100,41,300,249
481,0,0,5000,0,0,100,41,300,249
482,0,0,5000,0,0,100,41,300,249
483,0,0,5000,0,0,100,41,300,249
484,0,0,5000,0,0,100,41,300,249
