step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
36,0,7852,2045,27,2,20,0,1.5,10,228
37,0,7279,2196,23,1,20,0,1.5,10,228
38,0,6766,2329,14,0,20,0,1.5,10,228
39,0,6148,2462,16,0,20,0,1.5,10,228
40,0,5607,2636,10,0,20,0,1.5,10,228
41,0,5090,2807,7,0,20,0,1.5,10,228
42,0,4599,2963,3,0,20,0,1.5,10,228
43,0,4089,3180,2,0,20,0,1.5,10,228
44,0,3607,3373,2,0,20,0,1.5,10,228
45,0,3165,3612,4,0,20,0,1.5,10,228
46,0,2736,3853,4,0,20,0,1.5,10,228
47,0,2384,4097,8,0,20,0,1.5,10,228
48,0,2032,4401,9,0,20,0,1.5,10,228
49,0,1744,4708,9,0,20,0,1.5,10,228
50,0,1495,5000,13,0,20,0,1.5,10,228
51,0,1285,5000,9,0,20,0,1.5,10,228
52,0,1089,5000,9,0,20,0,1.5,10,228
53,0,907,5000,5,0,20,0,1.5,10,228
54,0,693,5000,4,0,20,0,1.5,10,228
55,0,555,5000,4,0,20,0,1.5,10,228
56,0,438,5000,0,0,20,0,1.5,10,228
57,0,325,5000,0,0,20,0,1.5,10,228
58,0,248,5000,0,0,20,0,1.5,10,228
59,0,186,5000,0,0,20,0,1.5,10,228
60,0,130,5000,0,0,20,0,1.5,10,228
0,300,2000,400,150,0,20,0,1.5,10,122
1,300,2000,414,150,0,20,0,1.5,10,122
2,313,1988,375,156,12,20,2,1.5,10,122
3,272,2163,355,156,31,20,3,1.5,10,122
4,231,2405,327,186,46,20,4,1.5,10,122
5,209,2844,314,166,59,20,5,1.5,10,122
6,179,3489,309,154,72,20,6,1.5,10,122
7,141,4149,312,141,78,20,11,1.5,10,122
8,103,5535,332,123,82,20,9,1.5,10,122
9,73,6631,346,120,86,20,4,1.5,10,122
10,59,7174,389,103,77,20,8,1.5,10,122
11,30,8022,406,103,73,20,5,1.5,10,122
12,24,8650,440,94,66,20,5,1.5,10,122
13,23,9172,469,89,55,20,4,1.5,10,122
14,12,9665,493,89,54,20,5,1.5,10,122
15,11,10077,520,86,50,20,8,1.5,10,122
16,12,10899,553,81,44,20,2,1.5,10,122
17,12,10963,587,86,44,20,3,1.5,10,122
18,15,11231,612,83,43,20,0,1.5,10,122
19,15,11089,658,74,40,20,2,1.5,10,122
20,14,11143,715,78,38,20,5,1.5,10,122
21,13,11614,750,84,35,20,2,1.5,10,122
22,15,11660,798,76,33,20,2,1.5,10,122
23,14,11626,851,78,28,20,4,1.5,10,122
24,14,11668,905,78,28,20,3,1.5,10,122
25,10,11623,967,91,24,20,1,1.5,10,122
26,12,11317,1025,88,19,20,1,1.5,10,122
27,10,10980,1074,86,16,20,2,1.5,10,122
28,7,10585,1157,97,13,20,0,1.5,10,122
29,8,10013,1221,83,8,20,2,1.5,10,122
30,8,9548,1286,90,6,20,0,1.5,10,122
31,7,8918,1380,96,3,20,1,1.5,10,122
32,5,8427,1450,88,3,20,0,1.5,10,122
33,8,7834,1532,91,2,20,0,1.5,10,122
34,8,7234,1605,92,1,20,0,1.5,10,122
35,6,6617,1702,90,0,20,0,1.5,10,122
36,3,5962,1803,88,1,20,0,1.5,10,122
37,6,5381,1939,71,1,20,0,1.5,10,122
38,10,4810,2061,70,0,20,0,1.5,10,122
39,8,4319,2222,66,0,20,0,1.5,10,122
40,7,3860,2353,53,0,20,0,1.5,10,122
41,7,3398,2509,58,0,20,0,1.5,10,122
42,12,3017,2659,54,0,20,0,1.5,10,122
43,14,2614,2837,58,1,20,0,1.5,10,122
44,10,2254,3058,73,1,20,0,1.5,10,122
45,12,1949,3266,76,1,20,0,1.5,10,122
46,22,1666,3507,68,1,20,0,1.5,10,122
47,24,1406,3712,63,0,20,0,1.5,10,122
48,19,1192,3949,60,0,20,0,1.5,10,122
49,20,1007,4192,57,0,20,0,1.5,10,122
50,30,821,4479,47,0,20,0,1.5,10,122
51,32,666,4776,41,0,20,0,1.5,10,122
52,30,509,5000,46,0,20,0,1.5,10,122
53,29,405,5000,59,0,20,0,1.5,10,122
54,30,314,5000,49,0,20,0,1.5,10,122
55,40,225,5000,46,0,20,0,1.5,10,122
56,44,151,5000,43,0,20,0,1.5,10,122
57,42,107,5000,38,0,20,0,1.5,10,122
58,36,80,5000,41,0,20,0,1.5,10,122
59,38,59,5000,32,0,20,0,1.5,10,122
60,48,41,5000,30,0,20,0,1.5,10,122
0,300,2000,400,150,0,20,0,1.5,10,38
1,296,2000,406,149,0,20,0,1.5,10,38
2,293,1991,386,166,9,20,1,1.5,10,38
3,298,2084,377,185,20,20,0,1.5,10,38
4,218,2061,357,194,40,20,3,1.5,10,38
5,203,2390,337,177,52,20,5,1.5,10,38
6,159,2854,361,181,64,20,8,1.5,10,38
7,140,3592,356,159,71,20,8,1.5,10,38
8,118,4401,362,152,70,20,7,1.5,10,38
9,90,5240,367,141,73,20,6,1.5,10,38
10,57,5973,428,135,76,20,5,1.5,10,38
11,29,6473,444,134,65,20,7,1.5,10,38
12,23,7123,478,114,59,20,5,1.5,10,38
13,15,7612,484,119,56,20,7,1.5,10,38
14,8,8328,521,109,44,20,6,1.5,10,38
15,11,8892,561,111,37,20,3,1.5,10,38
16,8,9090,591,89,41,20,4,1.5,10,38
17,9,9406,629,71,37,20,6,1.5,10,38
18,7,9845,701,68,34,20,4,1.5,10,38
19,7,9950,766,66,27,20,1,1.5,10,38
20,7,9947,809,77,23,20,3,1.5,10,38
21,3,10238,843,65,20,20,0,1.5,10,38
22,3,10064,882,78,19,20,2,1.5,10,38
23,1,10072,980,85,11,20,2,1.5,10,38
24,0,10051,1063,93,8,20,5,1.5,10,38
25,0,10366,1141,72,7,20,3,1.5,10,38
26,0,10294,1233,74,5,20,2,1.5,10,38
27,0,10122,1354,79,5,20,0,1.5,10,38
28,0,9684,1429,78,3,20,2,1.5,10,38
29,0,9413,1520,76,1,20,2,1.5,10,38
30,0,9032,1631,60,1,20,0,1.5,10,38
31,0,8484,1746,45,1,20,0,1.5,10,38
32,0,8040,1876,49,2,20,0,1.5,10,38
33,0,7537,2022,50,1,20,0,1.5,10,38
34,0,7057,2165,50,0,20,0,1.5,10,38
35,0,6543,2313,57,1,20,0,1.5,10,38
36,0,6003,2461,60,1,20,0,1.5,10,38
37,0,5475,2605,58,1,20,0,1.5,10,38
38,0,4954,2788,48,1,20,0,1.5,10,38
39,0,4495,2947,46,0,20,0,1.5,10,38
40,0,4041,3113,44,0,20,0,1.5,10,38
41,0,3574,3319,42,0,20,0,1.5,10,38
42,0,3172,3560,49,0,20,0,1.5,10,38
43,0,2755,3803,51,0,20,0,1.5,10,38
44,0,2409,4051,50,0,20,0,1.5,10,38
45,0,2116,4311,53,0,20,0,1.5,10,38
46,0,1808,4597,56,0,20,0,1.5,10,38
47,0,1561,4935,63,0,20,0,1.5,10,38
48,0,1350,5000,56,0,20,0,1.5,10,38
49,0,1136,5000,47,0,20,0,1.5,10,38
50,0,961,5000,56,0,20,0,1.5,10,38
51,0,810,5000,54,0,20,0,1.5,10,38
52,0,638,5000,52,0,20,0,1.5,10,38
53,0,512,5000,48,0,20,0,1.5,10,38
